Year,Fund Code,Dept Number,Appropriation Authority,Appropriation Account,Appropriation Account Description,Recommendation,Previous Year Revised,Previous Year Appropriation,Earlier Year Expenditures
2013,0100,001,2005,0000,Personnel Services,,,,
2013,0100,001,2005,0005,Salaries and Wages - on Payroll,5322699,5142155,5142155,5764934
2013,0100,001,2005,0000,Personnel Services - Total*,5322699,5142155,5142155,5764934
2013,0100,001,2005,0100,Contractual Services,,,,
2013,0100,001,2005,0126,Office Conveniences,1200,1200,1200,1031
2013,0100,001,2005,0130,Postage,18000,23400,23400,19823
2013,0100,001,2005,0150,Publications and Reproduction - Outside Services to Be,1000,1000,1000,873
2013,0100,001,2005,0157,Rental of Equipment and Services,49500,49500,49500,35046
2013,0100,001,2005,0159,Lease Purchase Agreements for Equipment and Machinery,63500,63500,63500,62710
2013,0100,001,2005,0162,Repair/Maintenance of Equipment,6984,6984,6984,3149
2013,0100,001,2005,0166,"Dues, Subscriptions and Memberships",18500,18500,18500,
2013,0100,001,2005,0169,Technical Meeting Costs,5286,5286,5286,3496
2013,0100,001,2005,0181,Mobile Communication Services,47400,39730,39730,39050
2013,0100,001,2005,0190,Telephone - Centrex Billing,46000,56000,56000,74800
2013,0100,001,2005,0196,Data Circuits,3600,3800,3800,
2013,0100,001,2005,0197,Telephone - Maintenance and Repair of,22000,30000,30000,30200
2013,0100,001,2005,0100,Contractual Services - Total*,282970,298900,298900,270178
2013,0100,001,2005,0200,Travel,,,,
2013,0100,001,2005,0229,Transportation and Expense Allowance,680,680,680,587
2013,0100,001,2005,0245,Reimbursement to Travelers,23280,23280,23280,15158
2013,0100,001,2005,0270,Local Transportation,872,872,872,462
2013,0100,001,2005,0200,Travel - Total*,24832,24832,24832,16207
2013,0100,001,2005,0300,Commodities and Materials,,,,
2013,0100,001,2005,0350,Stationery and Office Supplies,48500,48500,48500,50915
2013,0100,001,2005,0300,Commodities and Materials - Total*,48500,48500,48500,50915
2013,0100,001,2005,,Appropriation Total*,5679001,5514387,5514387,6102234
2013,0100,003,2005,0000,Personnel Services,,,,
2013,0100,003,2005,0005,Salaries and Wages - on Payroll,2288127,2347185,2347185,2196553
2013,0100,003,2005,0015,Schedule Salary Adjustments,9736,8113,8113,
2013,0100,003,2005,0020,Overtime,1250,1250,1250,56
2013,0100,003,2005,0000,Personnel Services - Total*,2299113,2356548,2356548,2196609
2013,0100,003,2005,0100,Contractual Services,,,,
2013,0100,003,2005,0130,Postage,820,820,820,497
2013,0100,003,2005,0138,For Professional Services for Information Technology,5000,5000,5000,5000
2013,0100,003,2005,0140,For Professional and Technical Services and Other Third,18157,48157,48157,45220
2013,0100,003,2005,0149,For Software Maintenance and Licensing,1649,1649,1649,1649
2013,0100,003,2005,0154,"For the Rental and Maintenance of Data Processing, Office",22771,22771,22771,
2013,0100,003,2005,0157,Rental of Equipment and Services,26603,28990,28990,53078
2013,0100,003,2005,0159,Lease Purchase Agreements for Equipment and Machinery,9231,9231,9231,8571
2013,0100,003,2005,0162,Repair/Maintenance of Equipment,1487,1487,1487,
2013,0100,003,2005,0166,"Dues, Subscriptions and Memberships",721,721,721,466
2013,0100,003,2005,0169,Technical Meeting Costs,36525,36728,21728,20351
2013,0100,003,2005,0181,Mobile Communication Services,32114,27117,42117,47118
2013,0100,003,2005,0189,Telephone - Non-Centrex Billings,51945,51945,51945,62467
2013,0100,003,2005,0100,Contractual Services - Total*,207023,234616,234616,244417
2013,0100,003,2005,0200,Travel,,,,
2013,0100,003,2005,0245,Reimbursement to Travelers,558,558,558,524
2013,0100,003,2005,0270,Local Transportation,3875,3875,3875,3640
2013,0100,003,2005,0200,Travel - Total*,4433,4433,4433,4164
2013,0100,003,2005,0300,Commodities and Materials,,,,
2013,0100,003,2005,0320,Gasoline,2597,5138,5138,
2013,0100,003,2005,0340,Material and Supplies,6036,6036,6036,5672
2013,0100,003,2005,0348,Books and Related Material,2032,2032,2032,279
2013,0100,003,2005,0350,Stationery and Office Supplies,7592,9761,9761,5004
2013,0100,003,2005,0300,Commodities and Materials - Total*,18257,22967,22967,10955
2013,0100,003,2005,0700,Contingencies,12784,12784,12784,12784
2013,0100,003,2005,,Appropriation Total*,2541610,2631348,2631348,2468929
2013,0100,005,2005,0000,Personnel Services,,,,
