Year,Fund Code,Dept Number,Appropriation Authority,Description,Previous Year Grant,Anticipated Grant,Carryover,Year Total
2013,0P71,001,2800,Innovation Delivery Grant,1928000,1928000,500000,2428000
2013,0929,001,2809,ComEd Settlement Fund,401996,395515,,395515
2013,0929,001,2809,Total - 001 - Office of the Mayor,2329996,2323515,500000,2823515
2013,0075,005,2855,Central Grants Management,1680000,1680000,,1680000
2013,0075,005,0K39,Community Development Block Grant,3495302,3320537,,3320537
2013,0929,005,2809,ComEd Settlement Fund,8186468,9838407,,9838407
2013,0M39,005,2807,Urban Area Security Initiative,,223345,,223345
2013,0M39,005,2807,Total - 005 - Office of Budget and Management,13361770,15062289,,15062289
2013,0566,006,2812,Health Technology,119884,,,
2013,0792,006,2820,Fiber Connection Grant,566000,,566000,566000
2013,0P52,006,2800,Health Information Technology Coordinator,70000,,,
2013,0P52,006,2821,Statewide Broadband Program,1574000,,,
2013,0S04,006,2817,ARRA - Arra - Btop Sustainable Broadband Adoption,7075000,,85000,85000
2013,0S60,006,2818,ARRA - Arra - Btop Public Computer Centers,4127000,,345000,345000
2013,0562,006,2815,Health Sti/HIV Technology,245257,252151,,252151
2013,0847,006,2811,Health Emergency Preparedness,588331,502398,,502398
2013,0H05,006,2810,Health Enterprise Systems,1961000,1787298,,1787298
2013,0H05,006,2810,Total - 006 - Department of Innovation and Technology,16326472,2541847,996000,3537847
2013,0H05,027,0K39,Community Development Block Grant,1926701,1482256,,1482256
2013,0585,027,2800,DHS Accounting,124758,125679,,125679
2013,0890,027,2801,DHS Accounting,275303,304489,,304489
2013,0890,027,2801,Total - 027 - Department of Finance,2326762,1912424,,1912424
2013,0890,031,0K39,Community Development Block Grant,1879599,1816789,,1816789
2013,0890,031,0K39,Total - 031 - Department of Law,1879599,1816789,,1816789
2013,0079,038,2833,North Park Villiage Senior Wellness Center,1000000,,750000,750000
2013,0079,038,2843,Lighting Retrofits,500000,200000,172000,372000
2013,0B05,038,2841,Peoples Energy Settlement,4800000,,2268000,2268000
2013,0B05,038,0K39,Community Development Block Grant,136777,137285,,137285
2013,0P83,038,2814,LED Lighting,149000,500000,149000,649000
2013,0S54,038,2844,ARRA - Arra - Energy Efficiency Conservation Block Grant - Residential Energy Program,715000,,,
2013,0S57,038,2840,ARRA - Arra - Local Energy Assurance Planning Initiative Carryover,87000,,,
2013,0929,038,2838,ComEd Environmental Fund,1111536,839078,45000,884078
2013,0P14,038,2836,Streeterville Thorium Moratoriam Area Environmental Settlement Funds,2589000,2000000,2400000,4400000
